	驮	dou2	㊀拿。
	扛	gong6	㊀承受，熬。
	扛夜	gong6 ya6	熬夜
	挤扛	ci3 gong6	拥挤
	掂掂	tian5	㊀掂量。
	掂掂向	tian5 tian hiang
	塞	soh7	㊀藏。
	塞物事	soh7 meh8 zy6
	体牢	thi3 lao	㊀垫着。
	实	jih8	㊀堵住。
	实牢	jih8 lao	堵住了

	咜	tha1
	咜老鼠	tha1 lhao3 chy3
	咜人	tha1 nin2
	咜鞋拖	tha1 ra2 thu9
	批	phi1
	批皮	phi1 bi9
	批糖梗	phi1 dong2 kuang3
	批梨	phi1 li2
	批苹果	phi1 bin2 kou3
	鐾	bi6	㊀在皮布上摩擦。
	凑	cheo1
	凑自来火	cheo1 zy6 lei2 hou9
	横	wang6	㊀横扫。㊁去掉汤水上悬浮的杂质。
	更	kang5	㊀横扫。㊁去掉汤水上悬浮的杂质。
	斫	cok7	㊀砍。
	斫柴	cok7 za2
	斫猪肉	cok7 cy1 niuk8
	铇	bao6	㊀刨。
	铇铅笔	bao6 khan3 pih7
	铇洋番蒣	bao6 yang2 fan1 zy2
	铇洋番蒣	bao6 yang2 fa1 rou2
	铇芋头	bao6 yv2 deo2
	扦	chian1	㊀插。
	插	chah7
	扦主网	chian1 cv3 mhong9
	擤	hng3	㊀擤鼻涕。
	擤鼻头涕	hng3 beh8 deo2 thi5
	揩	kha1	㊀触碰。
	揩油	kha1 yeo9
	担	tan3	㊀拂拭，擦拭。
	担埲塕	tan3 bung2 iung1
	裁	zei2
	剪	cian3
	敲边	khao1 pian1
	缲	chiao1
	缲脚缏	chiao1 kiak7 bian9
	笃	tuk7	㊀做衣服时因衣料不够，拼上一块。
	补	pu3
	绷	pang1	㊀张开，撑开。㊁织网。
	绷蟢网	pang1 hi3 mhong9
	蟢网绷起	hi3 mhong9 pang1 khi
	蟢网绷起来	hi3 mhong9 pang1 khih lei
	扚	tih7
	扚纽珠	tih7 nhieo3 cv9
	纳鞋底	noh8 ra2 ti3
	掿	niok8
	掿粉	niok8 fen3
	掿衣裳	niok8 i1 zong2
	戳	chiok7
	手戳戳	xieo3 chiok7 chiok
	戳眼	chiok7 nkan3
	起屋	khi3 uk7
	屋起起	uk7 khi3 khi
	屋起起来	uk7 khi3 khih lei
	戳	djiok8	㊀敲，压。
	戳章	djiok8 cong1
	戳私章	djiok8 sy1 cong1
	戳公章	djiok8 kung1 cong1
	钉	tin5	㊀挡住容器里的东西倒出液体。
	㷟	thei1	㊀宰杀家禽畜后，用开水烫后去毛：㷟鸡。
	盪	dong4	㊀摇动液体去除渣滓。
